fecha,producto,cantidad,precio,total
2024-01-01,Producto C,14,100,1400
2024-01-02,Producto A,17,500,8500
2024-01-03,Producto C,4,250,1000
2024-01-04,Producto C,18,500,9000
2024-01-05,Producto A,8,100,800
2024-01-06,Producto A,4,100,400
2024-01-07,Producto C,2,250,500
2024-01-08,Producto B,6,500,3000
2024-01-09,Producto C,10,500,5000
2024-01-10,Producto C,4,250,1000
2024-01-11,Producto C,18,500,9000
2024-01-12,Producto C,12,500,6000
2024-01-13,Producto A,2,100,200
2024-01-14,Producto C,10,500,5000
2024-01-15,Producto B,4,500,2000
2024-01-16,Producto A,14,250,3500
2024-01-17,Producto B,16,250,4000
2024-01-18,Producto B,15,100,1500
2024-01-19,Producto B,8,500,4000
2024-01-20,Producto B,14,500,7000
2024-01-21,Producto A,8,500,4000
2024-01-22,Producto A,16,100,1600
2024-01-23,Producto B,13,100,1300
2024-01-24,Producto B,18,250,4500
2024-01-25,Producto A,15,100,1500
2024-01-26,Producto A,13,500,6500
2024-01-27,Producto A,9,500,4500
2024-01-28,Producto C,15,100,1500
2024-01-29,Producto C,13,500,6500
2024-01-30,Producto C,1,500,500
2024-01-31,Producto B,7,100,700
2024-02-01,Producto C,9,100,900
2024-02-02,Producto B,1,500,500
2024-02-03,Producto B,12,500,6000
2024-02-04,Producto C,8,500,4000
2024-02-05,Producto B,11,250,2750
2024-02-06,Producto C,19,250,4750
2024-02-07,Producto C,17,250,4250
2024-02-08,Producto A,8,100,800
2024-02-09,Producto C,3,250,750
2024-02-10,Producto A,3,100,300
2024-02-11,Producto C,1,100,100
2024-02-12,Producto C,5,250,1250
2024-02-13,Producto A,10,250,2500
2024-02-14,Producto A,7,250,1750
2024-02-15,Producto C,9,500,4500
2024-02-16,Producto B,7,250,1750
2024-02-17,Producto A,9,500,4500
2024-02-18,Producto B,8,100,800
2024-02-19,Producto B,12,500,6000
2024-02-20,Producto B,2,250,500
2024-02-21,Producto A,1,100,100
2024-02-22,Producto B,16,100,1600
2024-02-23,Producto A,5,100,500
2024-02-24,Producto B,3,500,1500
2024-02-25,Producto C,12,250,3000
2024-02-26,Producto C,8,100,800
2024-02-27,Producto A,3,100,300
2024-02-28,Producto C,1,100,100
2024-02-29,Producto C,3,500,1500
